id,bbox,sick
Train_515.jpg,"[0, 0, 64, 43]",1
Train_307.jpg,"[64, 0, 64, 43]",0
Train_898.jpg,"[128, 0, 64, 43]",1
Train_418.jpg,"[192, 0, 64, 43]",1
Train_554.jpg,"[256, 0, 64, 43]",1
Train_364.jpg,"[320, 0, 64, 43]",1
Train_788.jpg,"[384, 0, 64, 43]",0
Train_952.jpg,"[448, 0, 64, 43]",0
Train_1084.jpg,"[512, 0, 64, 43]",1
Train_1784.jpg,"[640, 0, 64, 43]",1
Train_170.jpg,"[704, 0, 64, 43]",1
Train_1539.jpg,"[768, 0, 64, 43]",0
Train_1173.jpg,"[832, 0, 64, 43]",1
Train_1161.jpg,"[896, 0, 64, 43]",1
Train_35.jpg,"[1024, 0, 64, 43]",1
Train_1694.jpg,"[1088, 0, 64, 43]",0
Train_556.jpg,"[1152, 0, 64, 43]",1
Train_221.jpg,"[1408, 0, 64, 43]",0
Train_13.jpg,"[1472, 0, 64, 43]",0
Train_1322.jpg,"[1536, 0, 64, 43]",1
Train_841.jpg,"[1664, 0, 64, 43]",1
Train_813.jpg,"[1792, 0, 64, 43]",1
Train_645.jpg,"[0, 43, 64, 43]",1
Train_25.jpg,"[64, 43, 64, 43]",1
Train_1476.jpg,"[192, 43, 64, 43]",0
Train_65.jpg,"[256, 43, 64, 43]",1
Train_1151.jpg,"[384, 43, 64, 43]",0
Train_753.jpg,"[448, 43, 64, 43]",0
Train_312.jpg,"[512, 43, 64, 43]",1
Train_254.jpg,"[576, 43, 64, 43]",1
Train_1550.jpg,"[640, 43, 64, 43]",1
Train_231.jpg,"[704, 43, 64, 43]",1
Train_101.jpg,"[768, 43, 64, 43]",1
Train_1468.jpg,"[896, 43, 64, 43]",1
Train_1225.jpg,"[960, 43, 64, 43]",1
Train_1285.jpg,"[1024, 43, 64, 43]",0
Train_513.jpg,"[1088, 43, 64, 43]",1
Train_6.jpg,"[1216, 43, 64, 43]",1
Train_206.jpg,"[1280, 43, 64, 43]",1
Train_487.jpg,"[1344, 43, 64, 43]",1
Train_1010.jpg,"[1408, 43, 64, 43]",1
Train_249.jpg,"[1472, 43, 64, 43]",0
Train_201.jpg,"[1536, 43, 64, 43]",0
Train_769.jpg,"[1600, 43, 64, 43]",0
Train_1622.jpg,"[1664, 43, 64, 43]",1
Train_1810.jpg,"[1728, 43, 64, 43]",0
Train_363.jpg,"[1792, 43, 64, 43]",1
Train_1280.jpg,"[0, 86, 64, 43]",1
Train_1774.jpg,"[64, 86, 64, 43]",0
Train_336.jpg,"[192, 86, 64, 43]",1
Train_1523.jpg,"[256, 86, 64, 43]",1
Train_1611.jpg,"[320, 86, 64, 43]",0
Train_778.jpg,"[384, 86, 64, 43]",1
Train_1469.jpg,"[448, 86, 64, 43]",1
Train_1050.jpg,"[576, 86, 64, 43]",1
Train_528.jpg,"[640, 86, 64, 43]",1
Train_1573.jpg,"[704, 86, 64, 43]",1
Train_1454.jpg,"[768, 86, 64, 43]",1
Train_699.jpg,"[832, 86, 64, 43]",1
Train_119.jpg,"[896, 86, 64, 43]",1
Train_1641.jpg,"[960, 86, 64, 43]",1
Train_1479.jpg,"[1088, 86, 64, 43]",0
Train_36.jpg,"[1152, 86, 64, 43]",1
Train_1386.jpg,"[1216, 86, 64, 43]",0
Train_218.jpg,"[1280, 86, 64, 43]",1
Train_1249.jpg,"[1344, 86, 64, 43]",1
Train_951.jpg,"[1408, 86, 64, 43]",0
Train_538.jpg,"[1472, 86, 64, 43]",1
Train_1495.jpg,"[1536, 86, 64, 43]",1
Train_105.jpg,"[1600, 86, 64, 43]",0
Train_115.jpg,"[1664, 86, 64, 43]",1
Train_1282.jpg,"[1728, 86, 64, 43]",0
Train_1212.jpg,"[1792, 86, 64, 43]",1
Train_359.jpg,"[0, 129, 64, 43]",0
Train_298.jpg,"[128, 129, 64, 43]",0
Train_1406.jpg,"[256, 129, 64, 43]",1
Train_1042.jpg,"[320, 129, 64, 43]",1
Train_1390.jpg,"[384, 129, 64, 43]",1
Train_963.jpg,"[448, 129, 64, 43]",0
Train_1663.jpg,"[512, 129, 64, 43]",0
Train_19.jpg,"[576, 129, 64, 43]",1
Train_122.jpg,"[640, 129, 64, 43]",1
Train_69.jpg,"[704, 129, 64, 43]",1
Train_740.jpg,"[768, 129, 64, 43]",1
Train_1276.jpg,"[832, 129, 64, 43]",1
Train_653.jpg,"[896, 129, 64, 43]",1
Train_1536.jpg,"[1024, 129, 64, 43]",1
Train_1166.jpg,"[1088, 129, 64, 43]",1
Train_1267.jpg,"[1152, 129, 64, 43]",1
Train_1375.jpg,"[1216, 129, 64, 43]",1
Train_1538.jpg,"[1344, 129, 64, 43]",0
Train_559.jpg,"[1408, 129, 64, 43]",1
Train_1240.jpg,"[1472, 129, 64, 43]",0
Train_382.jpg,"[1600, 129, 64, 43]",1
Train_918.jpg,"[1664, 129, 64, 43]",0
Train_1730.jpg,"[1728, 129, 64, 43]",1
Train_609.jpg,"[0, 172, 64, 43]",1
Train_1577.jpg,"[64, 172, 64, 43]",1
Train_625.jpg,"[128, 172, 64, 43]",1
Train_1028.jpg,"[192, 172, 64, 43]",1
Train_1815.jpg,"[256, 172, 64, 43]",1
Train_295.jpg,"[384, 172, 64, 43]",0
Train_1705.jpg,"[576, 172, 64, 43]",1
Train_281.jpg,"[640, 172, 64, 43]",1
Train_936.jpg,"[768, 172, 64, 43]",1
Train_1434.jpg,"[832, 172, 64, 43]",1
Train_684.jpg,"[960, 172, 64, 43]",0
Train_31.jpg,"[1088, 172, 64, 43]",1
Train_104.jpg,"[1152, 172, 64, 43]",1
Train_682.jpg,"[1280, 172, 64, 43]",1
Train_1656.jpg,"[1344, 172, 64, 43]",0
Train_1369.jpg,"[1408, 172, 64, 43]",1
Train_867.jpg,"[1472, 172, 64, 43]",1
Train_1547.jpg,"[1536, 172, 64, 43]",1
Train_1270.jpg,"[1600, 172, 64, 43]",1
Train_1195.jpg,"[1664, 172, 64, 43]",0
Train_1000.jpg,"[1792, 172, 64, 43]",1
Train_762.jpg,"[128, 215, 64, 43]",1
Train_1005.jpg,"[192, 215, 64, 43]",0
Train_944.jpg,"[256, 215, 64, 43]",1
Train_1199.jpg,"[384, 215, 64, 43]",0
Train_1089.jpg,"[448, 215, 64, 43]",1
